framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,80,4096,2048,6,256,1,1,balanced,2.232574768066406
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,96,4096,2048,6,256,1,1,balanced,2.2366207885742186
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,128,4096,2048,6,256,1,1,balanced,2.250071716308594
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,160,4096,2048,6,256,1,1,balanced,2.2622618103027343
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,192,4096,2048,6,256,1,1,balanced,2.2777471923828125
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,256,4096,2048,6,256,1,1,balanced,2.286252136230469
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,320,4096,2048,6,256,1,1,balanced,2.315474548339844
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,384,4096,2048,6,256,1,1,balanced,2.324643249511719
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,512,4096,2048,6,256,1,1,balanced,2.350111999511719
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,768,4096,2048,6,256,1,1,balanced,2.4142323303222657
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,1024,4096,2048,6,256,1,1,balanced,2.4652056884765625
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,1536,4096,2048,6,256,1,1,balanced,2.582047424316406
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,2048,4096,2048,6,256,1,1,balanced,2.878502502441406
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,3072,4096,2048,6,256,1,1,balanced,5.7195544433593755
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,4096,4096,2048,6,256,1,1,balanced,5.910958862304687
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,6144,4096,2048,6,256,1,1,balanced,9.3492333984375
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,8192,4096,2048,6,256,1,1,balanced,10.836871337890624
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,12288,4096,2048,6,256,1,1,balanced,19.421683349609374
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,1,4096,2048,6,256,1,1,power_law_1.01,0.22261119842529298
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,2,4096,2048,6,256,1,1,power_law_1.01,0.42657470703125
