framework,version,device,op_name,kernel_source,model,architecture,num_tokens,hc_mult,hidden_size,latency
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,1024,4,4096,0.0262
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,1536,4,4096,0.1321
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,2048,4,4096,0.2057
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,12288,4,4096,10.0677
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,3072,4,4096,0.3092
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,4096,4,4096,0.4120
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,6144,4,4096,0.6172
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,16384,4,4096,14.0470
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,8192,4,4096,0.8233
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,12288,4,4096,1.2349
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,16384,4,4096,1.6499
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,20480,4,4096,17.4066
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,20480,4,4096,2.0632
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,32768,4,4096,3.2998
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,49152,4,4096,4.9462
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,32768,4,4096,26.8001
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,65536,4,4096,6.5952
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,98304,4,4096,9.8879
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,49152,4,4096,40.2521
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,131072,4,4096,13.1819
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,262144,4,4096,26.3640
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,65536,4,4096,55.1420
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,98304,4,4096,82.9329
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,131072,4,4096,110.2069
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,262144,4,4096,224.8503
