framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,134217728,0.1827
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,268435456,0.3314
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,512,0.005
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,1024,0.00919
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,2048,0.00917
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,4096,0.0093
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,8192,0.00934
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,16384,0.00939
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,32768,0.00973
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,65536,0.0097
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,131072,0.00996
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,262144,0.00998
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,524288,0.01015
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,1048576,0.01065
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,2097152,0.0123699999999999
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,4194304,0.01575
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,8388608,0.02343
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,16777216,0.02953
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,33554432,0.04007
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,67108864,0.05852
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,134217728,0.1109
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,268435456,0.2079
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,2,536870912,0.3807
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,256,0.005215
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,512,0.01043
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,1024,0.01047
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,2048,0.01043
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,4096,0.01044
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,8192,0.01069
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,16384,0.01117
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,32768,0.01122
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,65536,0.01126
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,131072,0.01122
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,262144,0.01147
